"number","category","subcategory"
"INC0300440","Degraded Service",""
"INC0300439","Degraded Service",""
"INC0300438","Degraded Service",""
"INC0300437","Degraded Service",""
"INC0300436","Degraded Service",""
"INC0300435","Degraded Service",""
"INC0300434","Degraded Service",""
"INC0300433","Degraded Service",""
"INC0300432","Assistance",""
"INC0300431","Degraded Service",""
"INC0300430","BitLocker",""
"INC0300429","Hardware",""
"INC0300428","Degraded Service",""
"INC0300427","Hardware",""
"INC0300426","Degraded Service",""
"INC0300425","Degraded Service",""
"INC0300424","Assistance",""
"INC0300423","Assistance",""
"INC0300422","Degraded Service",""
"INC0300421","Assistance",""
"INC0300420","Hardware",""
"INC0300419","Access rights",""
"INC0300418","Degraded Service",""
"INC0300417","Assistance",""
"INC0300416","Degraded Service",""
"INC0300415","Degraded Service",""
"INC0300414","Information",""
"INC0300413","Degraded Service",""
"INC0300412","Assistance",""
"INC0300411","Degraded Service",""
"INC0300410","Assistance",""
"INC0300409","Assistance",""
"INC0300408","Degraded Service",""
"INC0300407","Degraded Service",""
"INC0300406","Degraded Service",""
"INC0300405","Degraded Service",""
"INC0300404","Degraded Service",""
"INC0300403","Degraded Service",""
"INC0300402","Degraded Service",""
"INC0300401","Degraded Service",""
"INC0300400","Assistance",""
"INC0300399","Degraded Service",""
"INC0300398","Assistance",""
"INC0300397","Degraded Service",""
"INC0300396","Degraded Service",""
"INC0300395","Assistance",""
"INC0300394","Degraded Service",""
"INC0300393","Hardware",""
"INC0300392","Degraded Service",""
"INC0300391","Information",""
"INC0300390","Assistance",""
"INC0300389","Assistance",""
"INC0300388","Degraded Service",""
"INC0300387","Hardware",""
"INC0300386","Degraded Service",""
"INC0300385","Information",""
"INC0300384","Degraded Service",""
"INC0300383","Assistance",""
"INC0300382","Degraded Service",""
"INC0300381","Degraded Service",""
"INC0300380","Access rights",""
"INC0300379","Degraded Service",""
"INC0300378","Degraded Service",""
"INC0300377","Hardware",""
"INC0300376","Degraded Service",""
"INC0300375","Degraded Service",""
"INC0300374","Degraded Service",""
"INC0300373","BitLocker",""
"INC0300372","Degraded Service",""
"INC0300371","Access rights",""
"INC0300370","Degraded Service",""
"INC0300369","Access rights",""
"INC0300368","Degraded Service",""
"INC0300367","Degraded Service",""
"INC0300366","Hardware",""
"INC0300365","Degraded Service",""
"INC0300364","Degraded Service",""
"INC0300363","Hardware",""
"INC0300362","Assistance",""
"INC0300361","Data loss / corruption",""
"INC0300360","Degraded Service",""
"INC0300359","Degraded Service",""
"INC0300358","Hardware",""
"INC0300357","Security","Malware"
"INC0300356","Degraded Service",""
"INC0300355","Degraded Service",""
"INC0300354","Degraded Service",""
"INC0300353","Degraded Service",""
"INC0300352","Information",""
"INC0300351","Hardware issue",""
"INC0300350","Degraded Service",""
"INC0300349","Restaging",""
"INC0300348","Degraded Service",""
"INC0300347","Degraded Service",""
"INC0300346","Degraded Service",""
"INC0300345","Account Locked","Other"
"INC0300344","BitLocker",""
"INC0300343","Degraded Service",""
"INC0300342","Degraded Service",""
"INC0300341","Assistance",""
"INC0300340","Assistance",""
"INC0300339","Access rights",""
"INC0300338","Degraded Service",""
"INC0300337","Assistance",""
"INC0300336","Assistance",""
"INC0300335","Degraded Service",""
"INC0300334","Assistance",""
"INC0300333","Degraded Service",""
"INC0300332","Hardware",""
"INC0300331","Hardware issue",""
"INC0300330","Access rights",""
"INC0300329","Assistance",""
"INC0300328","Assistance",""
"INC0300327","Assistance",""
"INC0300324","Degraded Service",""
"INC0300323","Assistance",""
"INC0300322","Degraded Service",""
"INC0300321","BitLocker",""
"INC0300320","Degraded Service",""
"INC0300319","Degraded Service",""
"INC0300318","BitLocker",""
