"sys_id","name","city","state","country","latitude","longitude","parent"
"6d703c93ec5fc510078a8ddfae39e0ab","Allemagne","","","","","","Europe and Central Asia region"
"39e585da78757510a79488cb25b6bac5","Allemagne, République fédérale de","","","","","",""
"9c60f093ec5fc510078a8ddfae39e091","Almaty","","","","43.25355","76.950417","Tachkent"
"d060f093ec5fc510078a8ddfae39e094","Alpesie","","","","0","0","Alpesie"
"329aa4757dded6507328038f8b071a76","Alpha Centaure - Test","","","","0","0","Geneva"
"1d603493ec5fc510078a8ddfae39e0f9","Alpha Proxima - Test","","","","0","0","Geneva"
"d060f093ec5fc510078a8ddfae39e097","Ambon","","","","","","Indonésie"
"e1e585da78757510a79488cb25b6baad","American Samoa","","","","","",""
"dbf3b4790a0a0a6501a7673fb1b28f7f","Americas","","","","","",""
"7b603893ec5fc510078a8ddfae39e0da","Amm Quick Office","","","","0","0","Jordanie"
"dc60f093ec5fc510078a8ddfae39e0a5","Amman","","","","31.953872","35.854918","Amman"
"926b7cd6413975108e4d535b9d23bf46","Amman Annex 01","","","","0","0","Amman"
"5460f093ec5fc510078a8ddfae39e098","Amman Logistic Center","","","","31.9454","35.9284","Amman"
"6060f093ec5fc510078a8ddfae39e0aa","Amman Workshop","","","","31.8621616","35.9535713","Amman"
"5460f093ec5fc510078a8ddfae39e096","Ammara","","","","31.823454","47.155026","Basra"
"9c60f093ec5fc510078a8ddfae39e0a6","Ampara","","","","","","Sri Lanka"
"1c60f093ec5fc510078a8ddfae39e0a7","Amran","","","","15.658936","43.9340807","Sana'a"
"ac60f093ec5fc510078a8ddfae39e0a8","Amsterdam Airport","","","","0","0","Brussels"
"2060f093ec5fc510078a8ddfae39e0ab","Ancona","","","","","","Italie"
"ac60f093ec5fc510078a8ddfae39e0ab","Andijan","","","","","","Ouzbékistan"
"9d703c93ec5fc510078a8ddfae39e002","Andorre","","","","","","Europe and Central Asia region"
"d9607493ec5fc510078a8ddfae39e039","Andromeda","","","","0","0","Sirius - Formation"
"11703c93ec5fc510078a8ddfae39e00a","Angola","","","","","","Africa region"
"0de545da78757510a79488cb25b6ba71","Anguilla","","","","","",""
"f8e5011a78757510a79488cb25b6ba4b","Anhalt-Dessau-Coethen","","","","","",""
"2c60f093ec5fc510078a8ddfae39e0ac","Ankara","","","","39.92869","32.84559","Ankara"
"a5f3d474fc6be65057be12e3ce1d881b","Ankara","","","","","","Europe and Central Asia region"
"6c60f093ec5fc510078a8ddfae39e0ae","Antananarivo","","","","-18.909094","47.529377","Antananarivo"
"3670d0fcfc2be65057be12e3ce1d883e","Antananarivo (regional)","","","","","","Africa region"
"b070b893ec5fc510078a8ddfae39e08d","Antaninvarivo Airport","","","","0","0","Antananarivo"
"d5703c93ec5fc510078a8ddfae39e006","Antigua-et-Barbuda","","","","","","The Americas region"
"ac60f093ec5fc510078a8ddfae39e0ad","Antwerp Airport","","","","0","0","Brussels"
"e860f093ec5fc510078a8ddfae39e0af","Anuradhapura","","","","","","Sri Lanka"
"30f36e80982676d0f7c46c690dfb7c9a","Anwar & Aziz LLP HQ","Islamabad","Islamabad","Pakistan | Pakistan","","",""
"dbf440100a0a0a65006618f752ee74b5","Apac","","","","","",""
"e460f093ec5fc510078a8ddfae39e0b1","Apartado","","","","7.8876","-76.637066","Medellin"
"0cfe4b83c8f6b61048ee22fe5982af0b","APIDI asbl et 3 autres associations piscicole (UJDR, AJUKAD, CR Kalembe) HQ","Nord - Kivu_Goma","","Democratic Republic of the Congo | Congo","","",""
"2060f093ec5fc510078a8ddfae39e0bf","Applic","","","","0","0","Applic"
"e060f093ec5fc510078a8ddfae39e0c0","Applic Extended","","","","0","0","Applic"
"a060f093ec5fc510078a8ddfae39e0c1","Aqaba","","","","","","Jordanie"
"2460f093ec5fc510078a8ddfae39e0c2","Aqaba Airport","","","","0","0","Amman"
"8a70bc93ec5fc510078a8ddfae39e038","Arabie saoudite","","","","","","Near and Middle East region"
"e060f093ec5fc510078a8ddfae39e0c3","Aranyaprathet","","","","","","Thaïlande"
"6460f093ec5fc510078a8ddfae39e0c7","Arawa","","","","-6.2264589","155.5601133","Port Moresby"
"d1703c93ec5fc510078a8ddfae39e00b","Argentine","","","","","","The Americas region"
"40f5c9da78757510a79488cb25b6ba50","Argentine (CSC LAT)","","","","","",""
"a9f39474fc6be65057be12e3ce1d881c","Armenia","","","","","","Europe and Central Asia region"
"5d703c93ec5fc510078a8ddfae39e008","Arménie","","","","","","Europe and Central Asia region"
"8b34c8bfc9a0e21050402dba9ef4d032","Arménie - Mobile","","","","","","Europe and Central Asia region"
"6060f093ec5fc510078a8ddfae39e0c4","Arolsen","","","","0","0","Geneva"
"e060f093ec5fc510078a8ddfae39e0c5","Arsal","","","","34.184722","36.425722","Beirut"
"a460f093ec5fc510078a8ddfae39e0c6","Arua","","","","","","Ouganda"
"99703c93ec5fc510078a8ddfae39e027","Aruba","","","","","","The Americas region"
